id,name,Trim,created_at,updated_at,Check,Insurance Available,,,,,,,
685,A.T. Still University,A.T. Still University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
530,Abilene Christian University,Abilene Christian University,6/13/19 4:00,6/12/19 4:00,No,No,,The No's and N/A should be treated as Not available.,,,,,
1344,Abraham Baldwin Agricultural College,Abraham Baldwin Agricultural College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
410,Academy of Art University,Academy of Art University,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
942,Adams State University,Adams State University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
436,Adelphi University,Adelphi University,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
1563,Adler Graduate School,Adler Graduate School,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1250,Adler University,Adler University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1176,Adrian College,Adrian College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1586,AdventHealth University,AdventHealth University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
577,Agnes Scott College,Agnes Scott College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1451,Air Force Institute of Technology,Air Force Institute of Technology,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
904,Alabama A&M University,Alabama A&M University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
945,Alabama State University,Alabama State University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1682,Alaska Bible College,Alaska Bible College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1269,Alaska Pacific University,Alaska Pacific University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1425,Albany College of Pharmacy and Health Sciences,Albany College of Pharmacy and Health Sciences,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1374,Albany Law School,Albany Law School,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
811,Albany Medical College,Albany Medical College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1144,Albany State University,Albany State University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1408,Albertus Magnus College,Albertus Magnus College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
662,Albion College,Albion College,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
1309,Albright College,Albright College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
996,Alcorn State University,Alcorn State University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1483,Alderson Broaddus University,Alderson Broaddus University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
932,Alfred State College,Alfred State College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
617,Alfred University,Alfred University,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
1498,Alice Lloyd College,Alice Lloyd College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
834,Allegheny College,Allegheny College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1685,Allen College,Allen College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1613,Allen University,Allen University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
807,Alliant International University,Alliant International University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
887,Alma College,Alma College,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
753,Alvernia University,Alvernia University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
995,Alverno College,Alverno College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1479,Amberton University,Amberton University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1772,American Baptist College,American Baptist College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1801,American Film Institute Conservatory,American Film Institute Conservatory,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1136,American International College,American International College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1357,American Jewish University,American Jewish University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1821,American Musical and Dramatic Academy,American Musical and Dramatic Academy,6/22/20 21:15,6/22/20 21:15,#N/A,No,,,,,,,
126,American University,American University,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
265,Amherst College,Amherst College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1383,Anderson University,Anderson University,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
1036,"Anderson University, Indiana","Anderson University, Indiana",6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
423,Andrews University,Andrews University,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
510,Angelo State University,Angelo State University,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
1361,Anna Maria College,Anna Maria College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
525,Antioch University,Antioch University,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
1804,Antioch University Los Angeles,Antioch University Los Angeles,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
1806,Antioch University New England,Antioch University New England,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
1802,Antioch University Santa Barbara,Antioch University Santa Barbara,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
1808,Antioch University Seattle,Antioch University Seattle,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1631,Appalachian Bible College,Appalachian Bible College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1595,Appalachian College of Pharmacy,Appalachian College of Pharmacy,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
193,Appalachian State University,Appalachian State University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
973,Aquinas College,Aquinas College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1620,"Aquinas College, Tennessee","Aquinas College, Tennessee",6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
610,Arcadia University,Arcadia University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
762,Argosy University,Argosy University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1661,Arizona Christian University,Arizona Christian University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1818,Arizona School of Dentistry and Oral Health - A.T. Still University,Arizona School of Dentistry and Oral Health - A.T. Still University,9/8/19 1:54,9/8/19 1:54,#N/A,No,,,,,,,
24,Arizona State University,Arizona State University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1499,Arkansas Baptist College,Arkansas Baptist College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
400,Arkansas State University,Arkansas State University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
686,Arkansas Tech University,Arkansas Tech University,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
1755,Arlington Baptist University,Arlington Baptist University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1531,Art Academy of Cincinnati,Art Academy of Cincinnati,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
465,ArtCenter College of Design,ArtCenter College of Design,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
1083,Asbury University,Asbury University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
578,Ashland University,Ashland University,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
770,Assumption College,Assumption College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1125,Athens State University,Athens State University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1641,Atlanta Metropolitan State College,Atlanta Metropolitan State College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
121,Auburn University,Auburn University,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
853,Auburn University at Montgomery,Auburn University at Montgomery,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
568,Augsburg College,Augsburg College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
350,Augusta University,Augusta University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
592,Augustana College,Augustana College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
801,Augustana University,Augustana University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
791,Aurora University,Aurora University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
838,Austin College,Austin College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
589,Austin Peay State University,Austin Peay State University,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
1219,Ave Maria University,Ave Maria University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1207,Averett University,Averett University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1405,Avila University,Avila University,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
418,Azusa Pacific University,Azusa Pacific University,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
305,Babson College,Babson College,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
1657,Bacone College,Bacone College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
579,Baker College,Baker College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1043,Baker University,Baker University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
679,Baldwin Wallace University,Baldwin Wallace University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
210,Ball State University,Ball State University,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
1148,Bank Street College of Education,Bank Street College of Education,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1771,Baptist Bible College,Baptist Bible College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1667,Baptist Memorial College of Health Sciences,Baptist Memorial College of Health Sciences,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1752,Baptist University of the Americas,Baptist University of the Americas,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1633,Barclay College,Barclay College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
314,Bard College,Bard College,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
1129,Bard College at Simon's Rock,Bard College at Simon's Rock,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
442,Barnard College,Barnard College,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
1607,Barnes-Jewish College Goldfarb School of Nursing,Barnes-Jewish College Goldfarb School of Nursing,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
618,Barry University,Barry University,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
1518,Barton College,Barton College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1195,"Baruch College, CUNY","Baruch College, CUNY",6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
645,Bastyr University,Bastyr University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
371,Bates College,Bates College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1189,Bay Path University,Bay Path University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1501,Bay State College,Bay State College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
253,Baylor College of Medicine,Baylor College of Medicine,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
141,Baylor University,Baylor University,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
1516,Beacon College,Beacon College,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
1208,Becker College,Becker College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1233,Belhaven University,Belhaven University,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
759,Bellarmine University,Bellarmine University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
515,Bellevue College,Bellevue College,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
677,Bellevue University,Bellevue University,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
1766,Bellin College,Bellin College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1143,Belmont Abbey College,Belmont Abbey College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
492,Belmont University,Belmont University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
560,Beloit College,Beloit College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
865,Bemidji State University,Bemidji State University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1636,Benedict College,Benedict College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1193,Benedictine College,Benedictine College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
721,Benedictine University,Benedictine University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1431,Benjamin Franklin Institute of Technology,Benjamin Franklin Institute of Technology,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1278,Bennett College,Bennett College,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
789,Bennington College,Bennington College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
354,Bentley University,Bentley University,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
628,Berea College,Berea College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
897,Berkeley College,Berkeley College,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
201,Berklee College of Music,Berklee College of Music,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
649,Berry College,Berry College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1492,Bethany College,Bethany College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1495,"Bethany College, Kansas","Bethany College, Kansas",6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1416,Bethany Lutheran College,Bethany Lutheran College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1173,Bethel College,Bethel College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1169,Bethel College-Indiana,Bethel College-Indiana,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
600,Bethel University,Bethel University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1604,"Bethel University, Tennessee","Bethel University, Tennessee",6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1790,Bethesda University,Bethesda University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1149,Bethune-Cookman University,Bethune-Cookman University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1733,Beulah Heights University,Beulah Heights University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
165,"Binghamton University, State University of New York","Binghamton University, State University of New York",6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
306,Biola University,Biola University,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
1101,Birmingham-Southern College,Birmingham-Southern College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1407,Bismarck State College,Bismarck State College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1025,Black Hills State University,Black Hills State University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1504,Blackburn College,Blackburn College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1726,Blessing-Rieman College of Nursing,Blessing-Rieman College of Nursing,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1132,Bloomfield College,Bloomfield College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
511,Bloomsburg University of Pennsylvania,Bloomsburg University of Pennsylvania,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1608,Blue Mountain College,Blue Mountain College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1463,Bluefield College,Bluefield College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1558,Bluefield State College,Bluefield State College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
572,Bluffton University,Bluffton University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
794,Bob Jones University,Bob Jones University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1737,Boise Bible College,Boise Bible College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
202,Boise State University,Boise State University,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
1720,Boricua College,Boricua College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
982,Boston Architectural College,Boston Architectural College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
101,Boston College,Boston College,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
1522,Boston Graduate School of Psychoanalysis,Boston Graduate School of Psychoanalysis,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
34,Boston University,Boston University,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
311,Bowdoin College,Bowdoin College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
950,Bowie State University,Bowie State University,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
